Item Name,Dist. SKU,Brand,Pack,Size,Unit Type,Cases,Cost per Case
YOGURT STRWBRY BLND ORGANIC WM,861440,STONYFIELD FARMS,12 ,5.3 OZ,CS,485 ,$11.08
YOGURT PLN ORGANIC FF,585872,STONYFIELD FARMS,12 ,5.3 OZ,CS,418 ,$10.64
HUMMUS ORGNL NAT TFF,473738,CEDARS,48 ,2 OZ,CS,384 ,$20.41
CHEESE STRING MOZZ LMPS IW,282017,FRIGO,96 ,1 OZ,CS,377 ,$21.54
YOGURT VANILLA WM ORGANIC,861898,STONYFIELD FARMS,12 ,5.3 OZ,CS,333 ,$11.07
YOGURT PEACH BLND ORGANIC LF,585873,STONYFIELD FARMS,12 ,5.3 OZ,CS,282 ,$11.04
CHIP POTATO CHED SOUR CREAM TFF,230141,BAKED RUFFLES,64 ,1.125 OZ,CS,204 ,$31.12
MILK SOY PLN UNSWTND ORGANIC,415015,SILK,6 ,64 OZ,CS,202 ,$29.63
CANDY M&M PEANUT CHOC,279276,M&MS,6 ,42 OZ,CS,197 ,$57.24
CHIP POTATO KETTLE ORGNL SLTD,579994,CAPE COD,88 ,1 OZ,CS,158 ,$25.03
BAR GRANOLA CHOC CHIP CHWY,310018,QUAKER,96 ,.84 OZ,CS,146 ,$28.15
POPCORN WHI CHED TFF,994008,SMARTFOOD,104 ,.625 OZ,CS,131 ,$35.33
COOKIE FIG NEWTON 2 OZ TFF,33838,NABISCO,120 ,2 OZ,CS,111 ,$49.51
BLUEBERRIES WILD WHL IQF,468275,WEST CREEK,2 ,5 LB,CS,90 ,$22.03
MANGO SL JUICE INFUSED,563480,ARCADE SNACKS,1 ,11 LB,CS,86 ,$64.29
CEREAL CHEERIOS HONEY NUT BULK,52463,GENERAL MILLS,4 ,39 OZ,CS,79 ,$49.11
CHIP MLT-GRN GARDEN SALSA TFF,892295,SUNCHIPS,104 ,1 OZ,CS,79 ,$35.49
MILK OAT VANILLA UNSWTND GF UHT,593689,PLANET OAT,6 ,52 OZ,CS,60 ,$20.02
CUP 412 12 OZ PAPER WHI HOT,992546,SOLO CUP,1 ,1000 CT,CS,58 ,$47.59
CHIP MLT-GRN FRNCH ONION TFF,985664,SUNCHIPS,104 ,1 OZ,CS,56 ,$35.19
YOGURT GREEK PLN 10%,420443,CABOT CREAMERY,6 ,2 LB,CS,54 ,$26.34
PEANUT BUTTER UNSLTD,234843,TEDDIE,12 ,16 OZ,CS,44 ,$38.83
CANDY M&MS MILK CHOC PLN,240134,M&MS,6 ,42 OZ,CS,38 ,$56.45
CANDY PCS PEANUT 38 OZ,614640,M&MS,6 ,38 OZ,CS,38 ,$60.41
CRAISIN CRANBERRIES DRIED,481304,OCEAN SPRAY,200 ,1.16 OZ,CS,38 ,$47.20
HONEY CLOVER BEAR TFF,266347,WEST CREEK,12 ,12 OZ,CS,33 ,$42.71
BAR GRANOLA OATS & HONEY TFF,41857,NATURE VALLEY,144 ,.74 OZ,CS,31 ,$32.81
CANDY GUMMI BEARS,240953,PACKER,4 ,5 LB,CS,31 ,$44.42
SODA SELTZER WATER CAN,256338,POLAR,24 ,12 OZ,CS,29 ,$9.57
CANDY MINT CREME DE MENTHE TFF,28464,ANDES,1 ,20 LB,CS,28 ,$66.64
LID TLB316 CUP PLAS DOME BLK,862585,SOLO CUP,10 ,100 CT,CS,28 ,$30.19
NAPKIN XPRESS WHI 13 X 8.5,437344,FIRST MARK,12 ,500 CT,CS,28 ,$45.63
CUP PAPER 12 OZ HOT WHI,493150,PRIME SOURCE,20 ,50 CT,CS,25 ,$53.48
OATS QUICK TFF,43285,QUAKER,12 ,42 OZ,CS,24 ,$37.35
CHEESE MOZZ SNACK FRSH,503702,BELGIOIOSO CHEES,10 ,16 OZ,CS,22 ,$30.98
PUMP FOR 1 LTR PLAS BOTTLE,866663,MONIN,1 ,1 EA,CS,22 ,$1.33
JUICE STRWBRY LEMONADE ALL NAT,417584,NATALIES ORCHID ISLN,6 ,64 OZ,CS,20 ,$20.09
TOWEL ROLL 2PLY WHI HSHLD 9X11,158804,FIRST MARK,30 ,84 CT,CS,20 ,$31.35
CHEESE FONTINA SNACK .75 OZ,563910,BELGIOIOSO CHEES,10 ,18 OZ,CS,18 ,$81.53
BROCCOLI MINI SNACK PACK TFF,433897,TAYLOR,50 ,2 OZ,CS,16 ,$36.36
CHIP RIDGES SEA SALT,501052,POPCHIPS,72 ,.8 OZ,CS,16 ,$41.42
CRACKER CHEEZ-IT CHED TFF BKD,43502,SUNSHINE,60 ,1.5 OZ,CS,16 ,$23.00
MANGO CHNK IQF,956274,PACKER,1 ,30 LB,CS,16 ,$45.73
MILK OAT DARK CHOC GF UHT,593687,PLANET OAT,6 ,52 OZ,CS,16 ,$20.02
RAISIN IND PACK TFF,327066,SUN-MAID,144 ,1 OZ,CS,16 ,$44.53
SWEETENER STEVIA,584782,TRUVIA,1000 ,2 GM,CS,16 ,$43.95
SNACK MIX LAFAYETTE ALMOND,340184,ARCADE SNACKS,1 ,25 LB,CS,15 ,$140.08
DONUT CINNAMON WRAPPED TFF,936859,MUFFIN TOWN,80 ,2.25 OZ,CS,14 ,$21.70
PINEAPPLE CHNK IQF,338965,NONPAREIL,1 ,22 LB,CS,14 ,$25.41
SPINACH BABY,260811,PEAK (PRODUCE),2 ,2 LB,CS,14 ,$17.49
STRAWBERRIES WHL IQF,158533,PACKER,1 ,30 LB,CS,14 ,$38.11
APPLESAUCE MIXED BERRY UNSWTND,575906,MUSSELMAN,72 ,4.5 OZ,CS,13 ,$34.61
CHIP PITA CINNAMON SUGAR LSS,255034,STACYS,1 ,24 CT,CS,13 ,$14.54
CHIP PITA PARMESAN GARLIC HERB,255036,STACYS,24 ,1.5 OZ,CS,13 ,$14.52
CHEESE MOZZ FRSH SNACK,547303,BELGIOIOSO CHEES,10 ,6 OZ,CS,12 ,$23.94
CHIP POTATO KETTLE SEA SALT &,580001,CAPE COD,56 ,1.5 OZ,CS,12 ,$22.44
TOWEL ROLL 2PLY WHI HSHLD 9X11,910453,FIRST MARK,12 ,210 CT,CS,12 ,$29.23
DRESSING RANCH GF TFF POUCH,81989,KENS,60 ,1.5 OZ,CS,11 ,$15.26
MUFFIN CORN IW TFF,74182,MUFFIN TOWN,72 ,2 OZ,CS,11 ,$19.55
NAPKIN LUNCHEON WHI 1/4 FOLD,95779,TORK,12 ,500 CT,CS,11 ,$58.35
SNACK YOGURT RAISIN,459996,ARCADE SNACKS,1 ,25 LB,CS,11 ,$86.36
SPOON SOUP HW WHI PS,254156,DIXIE,1 ,1000 CT,CS,11 ,$31.11
APPLESAUCE CUP TFF,33283,MUSSELMAN,72 ,4 OZ,CS,9 ,$28.22
CEREAL LUCKY CHARMS BULK TFF,52464,GENERAL MILLS,4 ,35 OZ,CS,9 ,$48.21
DRINK SELTZER CRNBRY LIME CAN,347956,POLAR,24 ,12 OZ,CS,9 ,$9.50
DRINK SELTZER LIME CAN,347955,POLAR,24 ,12 OZ,CS,9 ,$9.50
DRINK SELTZER POMEGRANATE CAN,344509,POLAR,24 ,12 OZ,CS,9 ,$9.50
DRINK SELTZER RSPBRY LIME CAN,344508,POLAR,24 ,12 OZ,CS,9 ,$9.50
