Product Number,Product Description,Brand,Pack,Manufacturer Name,Manufacturer Product Number,Net Wght Shipped,Cases,Dollars,% Case Purchase,% $ Purchase,Avg$/CS
3171600,COOKIE MILANO 4 PACK VENDING SS,PEPPERIDGE FARM,60/1.5 OZ,CAMPBELL FOODSERVICE CO,000011310,1283.64,228.00 ,7678.49,5.35% ,6.97% ,$33.68
9651829,MILK SUB ALMOND UNSWEETENED ASEPTIC CARTON REF ORIGINAL,ALMOND BREEZE,6/.5 GA,HP HOOD LLC,10259,10659.40,394.00 ,7120.91,9.24% ,6.47% ,$18.07
8599995,CUP PET PLASTIC 16 OZ COLD CLEAR ULTRA,DART,20/50 EA,DART CONTAINER CORPORATION,TP16D,3364.00,100.00 ,7031.23,2.35% ,6.39% ,$70.31
4669792,CEREAL GRANOLA CINNAMON BAG SHELF STABLE,MALT-O-MEAL COMPANY,4/50 OZ,POST CONSUMER BRANDS LLC,07485,1700.00,136.00 ,5968.79,3.19% ,5.42% ,$43.89
3616190,CHEESE CHEDDAR WHITE SHARP SS IW REF,CABOT CREAMERY,50/.75 OZ,CABOT CREAMERY COOPERATIVE,1079,733.20,312.00 ,5756.85,7.32% ,5.23% ,$18.45
7165679,JUICE ORANGE 100% NOT-FROM-CONCENTRATE NO PULP CARTON GABLE TOP REF,FARMERS NATURAL,8/59 OZ,FLORIDA'S NATURAL GROWERS,1630021005,5529.80,172.00 ,5344.04,4.03% ,4.85% ,$31.07
8794167,JUICE ORANGE 100% NOT-FROM-CONCENTRATE W/ PULP CARTON GABLE TOP REF,FARMERS NATURAL,8/59 OZ,FLORIDA'S NATURAL GROWERS,1630021006,5304.75,165.00 ,4978.05,3.87% ,4.52% ,$30.17
7701568,JUICE CRANBERRY 100% PLASTIC BOTTLE SHELF STABLE,OCEAN SPRAY,8/60 OZ,OCEAN SPRAY CRANBERRIES INC,33677,5137.08,156.00 ,4948.32,3.66% ,4.49% ,$31.72
2505997,CHIP POTATO KETTLE SEA SALT VINEGAR SS BAG,CAPE COD LANCE,56/1.5 OZ,S-L SNACKS NATIONAL LLC,112038,1060.50,202.00 ,4705.19,4.74% ,4.27% ,$23.29
8117566,CEREAL CINNAMON LIFE BULK,QUAKER-LIFE,4/40 OZ,FRITO LAY/ QUAKER/ TROPICANA,10030000431877,1070.00,107.00 ,4184.73,2.51% ,3.80% ,$39.11
2005155,CRACKER CHEDDAR GOLDFISH SHAPED SS BAG,PEPPERIDGE FARM,60/1 OZ,CAMPBELL FOODSERVICE CO,000007495,776.25,207.00 ,3859.32,4.86% ,3.50% ,$18.64
6000277,CEREAL ALL BRAN COMPLETE WHEAT FLAKES BULK SHELF STABLE,KELLOGGS,4/43 OZ,KELLOGG SALES COMPANY,3800000691,892.25,83.00 ,3569.37,1.95% ,3.24% ,$43.00
131995,YOGURT ASSORTED STRAWBERRY & PEACH BLENDED LOW FAT PROBIOTIC SS CUP REF,DANNON ACTIVIA,24/4 OZ,DANONE US LLC,16532,1068.00,178.00 ,2605.19,4.18% ,2.37% ,$14.64
6395321,YOGURT PLAIN BLENDED LOW FAT RBST FREE SS CUP REF,DANNON,12/5.3 OZ,DANONE US LLC,119061,1006.94,253.00 ,2384.44,5.93% ,2.17% ,$9.42
